*********************************************
* Date/Time: 28-Jan-2020 14:39:54
* Seed: 213098.4
* Subject Number: 040
4	7	14	10	15	12	13	8	6	1	5	11	9	2	3	
*********************************************

Shape exposure time (seconds)
25.3581
subject	trial	phase	onset	node	shape	rotate	acc	resp	total	rt
40	1	1	1.0166	7	13	0	-1	0	0.0000	-1.0000
40	2	1	2.8165	8	8	0	-1	0	0.0000	-1.0000
40	3	1	4.8664	6	12	90	1	1	0.3333	1.3200
40	4	1	6.4163	8	8	0	-1	0	0.2500	-1.0000
40	5	1	8.4829	7	13	0	1	1	0.4000	1.1587
40	6	1	10.0328	5	15	0	-1	0	0.3333	-1.0000
40	7	1	12.0994	6	12	0	-1	0	0.2857	-1.0000
40	8	1	14.1492	5	15	0	-1	0	0.2500	-1.0000
40	9	1	16.1992	8	8	0	-1	0	0.2222	-1.0000
40	10	1	18.2324	5	15	0	0	1	0.2000	1.3279
40	11	1	20.1156	6	12	0	-1	0	0.1818	-1.0000
40	12	1	22.1488	4	10	0	-1	0	0.1667	-1.0000
40	13	1	24.1821	5	15	0	-1	0	0.1538	-1.0000
40	14	1	26.2319	7	13	0	0	1	0.1429	1.0257
40	15	1	27.8152	4	10	0	-1	0	0.1333	-1.0000
40	16	1	29.8484	7	13	0	-1	0	0.1250	-1.0000
40	17	1	31.8817	6	12	0	-1	0	0.1176	-1.0000
40	18	1	33.9315	5	15	0	1	1	0.1667	0.1247
40	19	1	35.4815	7	13	0	1	1	0.2105	1.4722
40	20	1	37.1481	6	12	90	-1	0	0.2000	-1.0000
40	21	1	39.2313	7	13	0	-1	0	0.1905	-1.0000
40	22	1	41.2645	8	8	0	1	1	0.2273	0.1049
40	23	1	42.8145	9	6	90	-1	0	0.2174	-1.0000
40	24	1	44.8976	8	8	0	-1	0	0.2083	-1.0000
40	25	1	46.9309	7	13	0	-1	0	0.2000	-1.0000
40	26	1	48.9807	8	8	0	-1	0	0.1923	-1.0000
40	27	1	51.0140	6	12	0	0	1	0.1852	0.0841
40	28	1	52.5639	7	13	0	-1	0	0.1786	-1.0000
40	29	1	54.6471	4	10	0	1	1	0.2069	1.4904
40	30	1	56.3304	5	15	0	-1	0	0.2000	-1.0000
40	31	1	58.3636	4	10	0	1	1	0.2258	0.1740
40	32	1	59.9135	6	12	0	0	1	0.2188	1.1826
40	33	1	61.6301	5	15	0	-1	0	0.2121	-1.0000
40	34	1	63.6467	7	13	0	1	1	0.2353	1.1631
40	35	1	65.1966	4	10	0	-1	0	0.2286	-1.0000
40	36	1	67.3131	7	13	0	-1	0	0.2222	-1.0000
40	37	1	69.4130	8	8	0	-1	0	0.2162	-1.0000
40	38	1	71.4629	9	6	0	0	1	0.2105	1.2832
40	39	1	73.3295	11	5	0	1	1	0.2308	1.2082
40	40	1	74.8794	10	1	0	1	1	0.2500	1.2580
40	41	1	76.4294	9	6	0	-1	0	0.2439	-1.0000
40	42	1	78.5126	12	11	0	-1	0	0.2381	-1.0000
40	43	1	80.5624	11	5	0	1	1	0.2558	1.2071
40	44	1	82.1124	13	9	0	1	1	0.2727	1.4017
40	45	1	83.6956	11	5	0	1	1	0.2889	1.2901
40	46	1	85.2455	12	11	0	1	1	0.3043	1.3547
40	47	1	86.7955	11	5	0	1	1	0.3191	1.2459
40	48	1	88.3454	13	9	0	1	1	0.3333	1.3427
